652, 3006, 30338, 273
681, 10106, 107401, 2685
760, 8534, 155287, 2174
938, 1777, 18455, 848
1073, 17516, 259719, 1038
1239, 15537, 159670, 3672
1445, 8894, 75849, 3640
2044, 7557, 173810, 1390
2384, 7552, 78155, 0
2502, 14536, 109568, 3287
2547, 5533, 64244, 1734
3101, 16076, 240822, 6020
3196, 3753, 75314, 1205
3347, 9846, 174907, 3847
3516, 4889, 33774, 1182
3519, 14925, 283816, 9933
3547, 10674, 206007, 206
3576, 6781, 63079, 2397
3607, 2777, 27635, 1160
4206, 19324, 194187, 776
4361, 10522, 226976, 3177
4671, 13419, 187194, 8423
4721, 7105, 98036, 3431
4792, 8314, 85472, 2136
4992, 22594, 163535, 5233
5124, 513, 42116, 336
5363, 15483, 157212, 3930
5503, 8414, 144981, 4349
5552, 3435, 43721, 2054
5556, 7737, 89835, 2156
5721, 14502, 147345, 5451
5900, 4068, 59120, 1478
6353, 10687, 90090, 2522
6470, 8646, 116899, 4442
6523, 10699, 117218, 3633
6674, 4096, 29181, 525
6855, 14689, 160988, 965
7859, 1994, 44779, 537
7919, 1180, 10357, 352
8023, 16784, 198279, 4362
8079, 7015, 45002, 360
8147, 19274, 185703, 5571
8174, 8143, 136436, 4775
8360, 14249, 133826, 6289
8446, 14641, 192924, 9453
8529, 6035, 50593, 101
9048, 12716, 231368, 3933
9072, 8009, 59135, 177
9073, 3801, 30708, 429
9205, 21275, 195659, 4108
9364, 16260, 205755, 411
9391, 3689, 40543, 527
9564, 9011, 51124, 971
9731, 14664, 129691, 4928
10387, 9823, 83973, 3358
10448, 13543, 179709, 8086
10471, 17391, 232383, 9295
10610, 2223, 83791, 2010
10615, 22154, 157076, 7382
10743, 2906, 34425, 34
10762, 14478, 137186, 2194
10776, 3069, 3538, 3
10787, 7952, 132598, 397
10946, 6354, 123727, 3093
11050, 5086, 53312, 1066
11060, 22253, 141607, 1982
11075, 11911, 159409, 6216
11176, 5340, 51126, 715
11222, 6660, 69671, 696
11301, 9148, 109715, 2742
11710, 14076, 190689, 6674
12038, 1384, 11802, 354
12222, 3132, 6353, 101
12235, 14762, 176148, 8455
12345, 11576, 277020, 13019
12505, 18315, 176330, 5995
12601, 17803, 254396, 12211
12934, 14087, 145428, 290
12973, 3205, 54176, 108
13125, 11844, 180112, 5943
13338, 2737, 38807, 970
13365, 3309, 12572, 213
13387, 1528, 46996, 0
13407, 10821, 112910, 903
13916, 5724, 48296, 0
14001, 4873, 46125, 2260
14153, 15172, 93904, 2253
14215, 12876, 94228, 2355
14289, 16597, 198897, 0
14518, 16254, 140457, 5056
14546, 11391, 142237, 5547
14683, 5727, 93716, 937
14722, 6449, 59904, 1257
15176, 3892, 69426, 2846
15560, 10925, 161242, 4837
15645, 9743, 111760, 111
15654, 5957, 64676, 1940
16156, 5428, 89245, 3302
16261, 19086, 199683, 2795
16500, 15726, 76362, 1374
16756, 15348, 157178, 628
16788, 5418, 50405, 1663
16942, 7391, 84674, 1693
16955, 9407, 72348, 1374
17198, 12408, 108631, 2824
17490, 3085, 36771, 588
17551, 6165, 117154, 4100
17711, 1789, 10560, 21
17773, 10751, 139575, 5862
17841, 8538, 29217, 1022
17901, 17190, 288056, 8353
18067, 25200, 195367, 976
18287, 735, 33542, 771
18364, 10329, 160023, 7521
18437, 22803, 230667, 1845
18909, 15591, 197586, 1185
19153, 9107, 182469, 5109
19597, 13394, 87285, 1832
19609, 19047, 217051, 5426
19611, 10061, 93909, 3756
19782, 11468, 100456, 1506
19871, 3358, 37854, 113
20061, 4916, 71585, 2004
20106, 8082, 100013, 3100
20210, 2126, 47396, 0
20487, 14092, 129723, 3502
20525, 11633, 109600, 876
20581, 5353, 69828, 2723
20609, 4362, 1000, 8
20647, 7815, 47746, 1671
20674, 4224, 48342, 725
21168, 14410, 56957, 512
21178, 2382, 48069, 721
21276, 7910, 174704, 4542
21602, 26203, 183018, 732
21721, 1642, 3472, 24
22214, 1784, 15146, 196
22386, 7821, 133788, 5217
23117, 4434, 77531, 1628
23642, 17134, 110188, 4848
23773, 14405, 90871, 2998
23834, 5954, 151338, 3632
23924, 13310, 187339, 9179
24177, 7165, 76923, 307
24266, 11341, 105554, 316
24273, 17709, 169160, 1353
24360, 11577, 120857, 5196
24818, 11521, 71295, 3493
24840, 14103, 130822, 5102
24876, 21818, 236913, 1895
24882, 18602, 198712, 8345
25161, 11284, 188886, 3966
25284, 14689, 141431, 282
25286, 484, 17897, 161
25346, 2967, 24895, 448
25457, 16284, 118678, 2254
25490, 23398, 243235, 2189
25549, 22192, 260405, 8593
25938, 14432, 180235, 2343
26167, 857, 37583, 1803
26758, 3112, 77853, 1634
27092, 2911, 53564, 1606
27518, 10335, 148208, 4001
27600, 7483, 87232, 261
27642, 10708, 86555, 2336
27909, 20319, 158985, 2384
27952, 8870, 93589, 561
28003, 418, 86805, 3211
28042, 8484, 93136, 931
28188, 11368, 140117, 5184
28218, 7143, 100318, 2006
28269, 14331, 210719, 1685
28400, 11006, 118286, 1064
28575, 4260, 51453, 720
28586, 18822, 197358, 394
28811, 6938, 105387, 5058
29007, 20627, 191988, 8447
29046, 1112, 44487, 889
29112, 10472, 163041, 7173
29185, 21618, 197978, 2177
29298, 1443, 24378, 292
29427, 12937, 188181, 2446
29692, 8776, 66269, 463
29850, 4642, 42701, 1579
29891, 16777, 154227, 7557
29966, 7462, 50915, 407
30771, 7307, 102489, 1537
30775, 17986, 202946, 5682
30895, 4238, 21178, 889
31239, 14639, 209606, 3563
31256, 15929, 242468, 10183
31456, 21686, 202342, 4249
31501, 18444, 253842, 7107
31613, 14013, 166591, 6330
31980, 9370, 69327, 1109
32146, 3497, 4645, 74
32237, 10792, 135340, 6360
32582, 10285, 97920, 3720
33673, 9925, 64072, 1922
34076, 12827, 172496, 5347
34566, 4782, 122397, 5630
34576, 9809, 61826, 2905
34680, 5556, 51317, 2103
34854, 12534, 179555, 3411
34998, 6245, 80354, 3535
35003, 11989, 136277, 3134
35030, 6203, 79170, 3641
35106, 3983, 81325, 325
35560, 9812, 129689, 2593
35657, 10056, 93976, 4510
36125, 9455, 60840, 365
36129, 8586, 147025, 4263
36152, 5107, 8308, 41
36771, 11265, 103176, 3404
36960, 11477, 190800, 1144
37358, 4391, 47351, 236
37514, 7500, 71957, 935
37668, 333, 13526, 446
37723, 3170, 51351, 51
37738, 14254, 151536, 1363
37832, 15250, 193690, 5617
37855, 12589, 104648, 2511
38393, 10694, 73679, 1399
38466, 18890, 245642, 10808
38611, 10267, 93997, 2631
38651, 6820, 53256, 2343
39012, 15015, 175920, 5277
39016, 8446, 24073, 1107
39051, 8378, 85605, 1712
39061, 12123, 210921, 5062
39262, 5371, 84835, 3308
39489, 12957, 104879, 3251
39505, 9395, 69416, 2776
39914, 14296, 134624, 1750
40454, 7018, 137519, 3162
40512, 3962, 76031, 3649
41289, 5089, 39574, 910
41313, 1664, 45344, 2221
41354, 9828, 114422, 572
41580, 3652, 47707, 2146
41618, 2500, 28124, 731
41675, 24427, 245669, 2702
41708, 3437, 76568, 0
41763, 18512, 179599, 1077
42232, 19083, 155051, 3256
42402, 5970, 100870, 1513
42476, 6421, 112793, 2030
42586, 92, 27416, 877
42590, 6977, 49095, 1472
42718, 1901, 70818, 2195
43076, 5014, 51314, 974
43103, 11358, 83170, 914
43506, 17674, 193835, 2132
43531, 12939, 140470, 6883
44197, 16085, 228651, 685
44319, 4755, 56911, 1991
44552, 3396, 35127, 70
44554, 11076, 134475, 4168
44825, 15687, 174282, 174
45024, 2804, 36321, 36
45102, 13070, 216418, 7574
45329, 19588, 140205, 3925
45400, 8741, 128926, 5028
45574, 11399, 118629, 3677
45594, 7820, 95045, 2566
45725, 16254, 220878, 4638
45853, 2253, 25522, 76
46279, 9800, 79523, 3339
46373, 16170, 203585, 3460
46631, 19804, 192677, 7707
46633, 5491, 117024, 3744
46872, 2970, 24889, 0
46955, 14450, 159874, 1598
46987, 12847, 142118, 4832
47091, 18040, 193119, 1931
47172, 3802, 52852, 52
47340, 6533, 100004, 1100
47589, 14854, 108741, 1739
47597, 6809, 154253, 0
47628, 86, 44364, 443
47765, 3017, 4502, 76
47839, 2982, 37950, 1404
47938, 21329, 224370, 10096
48026, 3131, 43818, 306
48131, 3588, 22643, 67
48187, 11101, 130499, 4828
48465, 18052, 125805, 6164
48488, 4698, 31161, 529
48544, 22140, 179902, 7196
48857, 8442, 96957, 4169
49233, 14453, 156477, 2503
49328, 12172, 173948, 8001
49394, 12163, 145493, 6256
49424, 7013, 69692, 3414
49435, 2771, 5842, 128
49460, 2985, 5427, 255
50003, 7343, 52784, 686
50029, 7703, 99205, 3472
50180, 10299, 136966, 2602
